지역별(1),2012.06,2013.06,2014.06,2015.06,2016.06,2017.06,2018.06,2019.06,2020.06,2021.06
부산,3.9,2.3,2.8,5.3,7.8,12.4,12.5,10.2,10.3,23.4
대구,8,13.7,23.7,32.1,35.5,34.2,38.2,41.8,44.2,60.7
광주,9.3,10.5,11.2,16.2,19.1,19.6,22.1,25.9,26.6,32.8
대전,3.1,2.3,2.4,3.2,3.3,4.1,5.6,8.9,23.7,40.3
울산,10.2,9.5,11.3,15,17.7,17,13.3,5.2,6.8,17.9
강원,11.3,10.8,11.3,12.8,14.8,16.9,18,15,13.4,19
충북,9.5,10.9,12.8,15.6,15.4,14.7,13.3,9.5,10.2,16.2
충남,6.4,9.8,12.9,14.7,13.8,12.6,11.2,9.1,8.8,16.3
전북,7.5,4.5,3.8,3.6,3.9,4.8,6,5.5,5.2,9
전남,5.8,5.1,4,3.6,5,6.7,9,12.2,14.1,17.7
경북,5.6,10.2,16,19.2,19.6,18,16.6,13.6,12.2,17.8
경남,4.7,4,5.3,7.6,8.3,7.5,3.9,-0.9,-2.2,2.9
제주,6.8,6.6,7.3,11.4,21.8,23.1,25.3,25.7,20.5,22.9
