시도별,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
부산광역시,1.1,4.6,-6.5,-8.8,-15.2,-23.1,-27.3,-32.5,-39.9,-45.5
대구광역시,-1.7,-0.9,-10.5,-10.4,-12.7,-18.3,-21.6,-30,-40,-48.8
광주광역시,-5,-0.8,-10.2,-13.3,-18.8,-21.7,-27.3,-31.8,-39.3,-46.9
대전광역시,1.4,0.7,-4.9,-8.7,-14.1,-21,-24.8,-33.2,-39.7,-44.4
울산광역시,1.4,4.2,-1.8,-3,-9.5,-18.8,-25.4,-31.1,-39.3,-48.5
강원도,0.1,-3.4,-7.5,-5,-9.6,-12.5,-17.5,-20,-31.1,-33.6
충청북도,-3.8,-3,-9.9,-8.4,-14.8,-19.2,-21.5,-27.8,-32.4,-41.7
충청남도,-2.5,-5.3,-9.6,-7.2,-11.9,-19.1,-19.4,-29.1,-37.9,-42.2
전라북도,-4.6,-6.3,-13.3,-14.1,-22.4,-27.5,-34.6,-36,-43.8,-52.5
전라남도,-5.6,-4.9,-12,-12.4,-19.2,-25.2,-29.6,-31.7,-41.2,-42.5
경상북도,-4.9,-2.6,-12.4,-12,-19.1,-26.4,-30.6,-37.9,-46.6,-52.2
경상남도,-4.1,-2.4,-10.3,-12.7,-16.7,-25.6,-31.2,-38.3,-44.9,-52.8
제주특별자치도,-5.8,1.5,-2.5,1.2,-2.2,-3.6,-5.8,-13.3,-19.8,-29.6
